longitude,latitude
-0.106471395,51.49388955
-0.106048607,51.49386998
-0.124079471,51.45632274
-0.12731004,51.44802169
-0.099355601,51.46216147
-0.127132858,51.44775744
-0.105747946,51.49377698
-0.113985756,51.46311153
-0.104488773,51.43023808
-0.136060126,51.41806117
-0.099653856,51.45619659
-0.099467431,51.45642353
-0.117096265,51.48943384
-0.115057766,51.46220739
-0.099728685,51.45930734
-0.120887,51.4598286
-0.113016735,51.46252338
-0.117950104,51.4588164
-0.101271923,51.44946775
-0.09916186,51.45651658
-0.087879788,51.42773283
-0.138322857,51.47141371
-0.098988013,51.45673115
-0.118627663,51.45894867
-0.119023666,51.45895385
-0.08847932,51.42685412
-0.085742629,51.42698204
-0.086126044,51.4268654
-0.114089525,51.4622416
-0.114113594,51.46217387
-0.100532314,51.45876276
-0.100183156,51.45893136
-0.127738424,51.45561223
-0.100065686,51.45919277
-0.139708383,51.46949197
-0.139494029,51.46960711
-0.139220364,51.46970077
-0.114405912,51.42841243
-0.106653962,51.42270409
-0.108016452,51.49327487
-0.107921074,51.42281476
-0.108296597,51.42301369
-0.108691265,51.42310015
-0.109113939,51.42321253
-0.113863238,51.46306517
-0.122262137,51.43980344
-0.122039092,51.43967228
-0.121633156,51.43972465
-0.121209897,51.43956359
-0.120839628,51.43951382
-0.120386279,51.43956008
-0.120144622,51.43942244
-0.119673524,51.43946294
-0.119362836,51.43932011
-0.118965098,51.43936994
-0.125080253,51.44007463
-0.118521095,51.43921064
-0.118093873,51.43925577
-0.11772416,51.43910511
-0.117277329,51.43914599
-0.116890949,51.43909453
-0.116551457,51.43895264
-0.108248036,51.49303086
-0.124654768,51.44012122
-0.124371834,51.43998096
-0.123957947,51.44002984
-0.123612411,51.43988113
-0.123230734,51.43993403
-0.122940673,51.43979225
-0.12251763,51.43973545
-0.108627916,51.49282281
-0.108912562,51.49274666
-0.109130121,51.49250485
-0.106907436,51.4437539
-0.110436144,51.46227752
-0.118425564,51.48137946
-0.11878155,51.48149483
-0.119135956,51.48161017
-0.122430138,51.447902
-0.122572644,51.44755314
-0.122604409,51.44733529
-0.122648636,51.44702765
-0.122817419,51.44680869
-0.123287782,51.44685792
-0.123504771,51.44713353
-0.098082542,51.46890906
-0.098112758,51.46866548
-0.101413338,51.42770187
-0.101401883,51.42753371
-0.137112143,51.43400241
-0.136835875,51.4340752
-0.136506889,51.43394648
-0.129326642,51.43729904
-0.101379489,51.42737017
-0.130468541,51.43949773
-0.098433434,51.46855093
-0.098424877,51.46836146
-0.098720524,51.46823395
-0.098728957,51.46803108
-0.099038536,51.46791976
-0.098992675,51.46774908
-0.110558631,51.4554207
-0.106870328,51.44349415
-0.112975495,51.48726101
-0.112992726,51.48743078
-0.113117215,51.4875483
-0.113362282,51.48769587
-0.113465694,51.48790984
-0.110325325,51.45542887
-0.093542983,51.4707808
-0.093354978,51.47080051
-0.093128785,51.47078643
-0.093534439,51.47048924
-0.093554168,51.47064202
-0.126496802,51.41338674
-0.124840819,51.41471478
-0.125122025,51.41456401
-0.125123367,51.41444334
-0.125330922,51.41429125
-0.125644226,51.41416868
-0.125768243,51.41394936
-0.126154425,51.41378088
-0.126271253,51.41356145
-0.110030838,51.45525391
-0.104676518,51.42854417
-0.104496583,51.42876875
-0.104688383,51.42855198
-0.104815481,51.42872057
-0.105107498,51.42848039
-0.105510291,51.4283824
-0.105768566,51.428158
